day,hour,value
1,1,2
1,2,2
1,3,2
1,4,2
1,5,0
1,6,0
1,7,2
1,8,2
1,9,0
1,10,0
1,11,0
1,12,0
1,13,2
1,14,2
1,15,0
1,16,0
2,1,2
2,2,2
2,3,2
2,4,2
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
3,1,5
3,2,8
3,3,8
3,4,0
3,5,0
3,6,2
3,7,5
3,8,12
3,9,34
3,10,43
3,11,54
3,12,44
3,13,40
3,14,48
3,15,54
3,16,59
3,17,60
3,18,51
3,19,21
3,20,16
3,21,9
3,22,5
3,23,4
3,24,7
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,2
4,7,4
4,8,13
4,9,26
4,10,58
4,11,61
4,12,59
4,13,53
4,14,54
4,15,64
4,16,55
4,17,52
4,18,53
4,19,18
4,20,3
4,21,9
4,22,12
4,23,2
4,24,8
5,1,2
5,2,0
5,3,8
5,4,2
5,5,0
5,6,2
5,7,4
5,8,14
5,9,31
5,10,48
5,11,46
5,12,50
5,13,66
5,14,54
5,15,56
5,16,67
5,17,54
5,18,23
5,19,14
5,20,6
5,21,8
5,22,7
5,23,0
5,24,8
6,1,2
6,2,0
6,3,2
6,4,0
6,5,0
6,6,0
6,7,4
6,8,8
6,9,8
6,10,6
6,11,14
6,12,12
6,13,9
6,14,14
6,15,0
6,16,4
6,17,7
6,18,6
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
7,1,7
7,2,6
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,2
7,12,2
7,13,5
7,14,6
7,15,0
7,16,4
7,17,0
7,18,2
7,19,10
7,20,7
7,21,0
7,22,19
7,23,9
7,24,4
8,1,7
8,2,6
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,2
8,12,2
8,13,5
8,14,6
8,15,0
8,16,4
8,17,0
8,18,2
8,19,10
8,20,7
8,21,0
8,22,19
8,23,9
8,24,4
 ,,
